№,проба,группа,шифр крысы,G-CSF,G-CSF,G-CSF,G-CSF,Eotaxin,Eotaxin,Eotaxin,Eotaxin,GM-CSF,GM-CSF,GM-CSF,GM-CSF,IL-1a,IL-1a,IL-1a,IL-1a,IL4,IL4,IL4,IL4,IL1b,IL1b,IL1b,IL1b,IL2,IL2,IL2,IL2,IL6,IL6,IL6,IL6,IL-13,IL-13,IL-13,IL-13,IL10,IL10,IL10,IL10,IL12p75,IL12p75,IL12p75,IL12p75,EGF,EGF,EGF,EGF,Leptin,Leptin,Leptin,Leptin,MIP-1a,MIP-1a,MIP-1a,MIP-1a,IFNg,IFNg,IFNg,IFNg,IL5,IL5,IL5,IL5,IL17a,IL17a,IL17a,IL17a,IL18,IL18,IL18,IL18,MCP1,MCP1,MCP1,MCP1,IP10,IP10,IP10,IP10,GRO/KC,GRO/KC,GRO/KC,GRO/KC,VEGF,VEGF,VEGF,VEGF,Fraktalkine,Fraktalkine,Fraktalkine,Fraktalkine,LIX,LIX,LIX,LIX,MIP2,MIP2,MIP2,MIP2,TNFa,TNFa,TNFa,TNFa,RANTES,RANTES,RANTES,RANTES
0,0,0,0,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14
12,,Шов НВГ,130,4.9,4.9,4.9,4.9,0.62,4.9,4.9,4.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,510.7,4.9,4.9,4.9,4.9,2.4,2.4,15.79,92.99,4.54,12.2,2.22,2.46,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,7.3,7.3,7.3,1.53,92.26,12.2,12.2,12.2,84.73,29.55,109.42,134.76,7755.03,1980.01,3015.47,12299.3,2.4,2.79,15.64,11.3,14.6,14.6,14.6,14.6,42.77,4.9,18.73,18.73,7.3,7.3,7.3,7.3,132.95,287.75,254.87,411.13,788.73,1216.43,692.61,870.65,155.09,131.48,172.21,212.92,14.6,14.6,14.6,14.6,3.33,0.06,1.89,9.84,5.62,2.33,5.78,5.22,833.09,733.61,1128.45,847.06,24.4,24.4,24.4,24.4,2.4,2.4,2.4,2.4,1974.7,807.85,1681.65,2153.01
13,,Шов НВГ,131,4.9,4.9,4.9,4.9,6.05,4.9,4.9,6.99,120.88,12.2,12.2,12.2,196.63,12.2,12.2,559.03,48.27,4.9,4.9,58.27,50.37,2.4,27.49,156.78,31.6,2.46,0.06,11.3,459.16,73.2,73.2,1360.78,99.35,4.9,4.9,41.24,11.59,7.3,7.3,20.52,717.66,42.58,144.81,619.45,42.56,7.69,5.95,182.37,6429.71,3606.92,3119.89,8966.34,11.51,2.4,7.58,26.88,14.6,14.6,14.6,289.01,93.19,4.9,4.9,39.45,52.9,7.3,7.3,59.64,140.21,61.2,77.42,1246.03,1392.57,889.53,810.3,1054.58,205.7,236.6,260.43,488.74,84.53,14.6,14.6,14.6,15.54,1.98,0.9,30.91,16.51,7.46,5.46,18.66,857.79,836.32,1308.47,1392.44,46.36,24.4,24.4,19.23,60.16,2.4,2.4,32.44,3249.51,1628.4,1984.18,4159.28
14,,Шов НВГ,132,4.9,4.9,4.9,4.9,4.9,0.23,1.73,1.59,12.2,12.2,12.2,12.2,34.9,12.2,12.2,12.2,4.9,4.9,4.9,4.9,53.3,53.3,110.1,310.51,1.98,16.86,14.72,14.72,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,7.3,0.93,32.74,380.1,12.2,307.38,221.92,342.33,81.25,11.49,2.4,9.6,8272.72,3942.97,3467.15,7291.89,15.04,13.35,12.82,11.14,14.6,14.6,14.6,14.6,10.97,60.21,74.19,69.31,7.3,7.3,7.3,11.17,2408.42,292.09,258.18,573.39,851.19,1125.62,1997.56,943.13,277.27,197.01,298.43,466.26,14.6,14.6,14.6,14.6,16.81,8.24,16.69,11.15,6.78,4.9,8.6,5.95,895.11,840.62,1614.75,1067.18,24.4,24.4,24.4,24.4,2.4,31.8,36.16,27.83,4841.79,1778.59,2297.2,1935.17
15,,Шов НВГ,133,4.9,4.9,4.9,715.25,4.9,1.44,4.9,95.02,12.2,12.2,12.2,1241.3,423.4,12.2,272.84,2004.46,4.9,4.9,4.9,568.42,72.34,50.37,88.97,901.1,1215.5,232.9,403.27,3884.79,73.2,73.2,73.2,8997.52,4.9,12.13,4.9,608.75,2.78,0.13,7.3,745.58,12.2,168.26,12.2,3234.62,82.58,64.13,70.2,253.96,10459.58,3458.15,1956.85,15502.33,72.45,34.9,46.04,267.09,14.6,14.6,14.6,1499.13,4.9,26.07,4.9,254.06,7.3,7.3,7.3,462.72,2566.57,900.81,2257.88,8201.66,1733.84,1488.6,2775.28,3234.24,270.5,369.28,225.83,631.26,14.6,14.6,14.6,868.12,354.3,153.99,184.49,764.85,301.94,103.42,125.34,522.68,1061.46,1165.78,789.74,1690.29,24.4,19.23,24.4,656.74,2.4,15.58,2.4,226.68,1539.24,2560.9,437.06,3796.01
17,57,Два шва NaCl,147,4.9,,4.9,4.9,4.9,,4.9,4.9,12.2,,12.2,12.2,1246.91,,12.2,1411.18,4.9,,4.9,4.9,244.23,,392.77,445.93,982.4,,12.2,625.86,73.2,,73.2,73.2,4.9,,4.9,4.9,667.74,,509.36,866.89,799.29,,12.2,508.71,160.05,,67.13,749.15,9567.85,,10761.54,14571.85,231.32,,387.33,388.45,14.6,,14.6,963.61,655.67,,4.9,571.97,7.3,,7.3,485.28,1362.9,,2844.01,4268.88,8115.53,,4551.42,4024.96,1213.48,,916.88,1261.23,14.6,,14.6,1341.57,339.87,,559.98,655.69,267.18,,263.11,355.01,3199.78,,3657.77,6939.17,24.4,,24.4,24.4,171.71,,2.4,171.71,4495.37,,5380.53,9788.39
18,59,Два шва NaCl,148,4.9,,4.9,4.9,4.9,,4.9,67.78,12.2,,12.2,12.2,1859.49,,7587.02,12487.35,4.9,,4.9,362.33,277.09,,3812.27,2526.13,415.35,,415.35,1295.33,73.2,,73.2,73.2,4.9,,4.9,4.9,753.87,,979.65,1481.82,508.71,,12.2,610.41,149.22,,602.64,0.2,7734.54,,26161.75,33945.31,118.76,,532.85,522.78,14.6,,14.6,1241.7,478.43,,4.9,478.43,7.3,,236.2,443.05,995.28,,4395.9,14202.06,5075.12,,4513.08,8606.67,1110.65,,1534.14,1743.73,14.6,,14.6,1692.97,307.36,,605.58,931.45,219.77,,378.42,424.42,2946.55,,9275,8972.11,24.4,,2774.5,2774.5,128.29,,2.4,164.71,4793.57,,10843.01,12067
19,60,Два шва NaCl,149,4.9,,4.9,4.9,4.9,,4.9,75.45,12.2,,12.2,765.26,1911.56,,4347.31,6092.89,4.9,,4.9,431.27,273.62,,946.06,735.33,763.99,,1196.27,1501.77,73.2,,73.2,3593.6,4.9,,4.9,4.9,724.6,,1125.69,1010.3,610.41,,49.77,214.26,179.24,,1356.78,168.64,20658.98,,20780.14,12766.84,150.48,,489.65,275.52,14.6,,103.95,14.6,634.39,,4.9,4.9,7.3,,7.3,7.3,1518.11,,9375.61,3944.39,4110.31,,7264.05,5193.7,1147.56,,1504.59,1206.18,14.6,,14.6,14.6,453.12,,697.27,490.97,285.9,,384.87,314.7,6600.3,,9264.96,4839.14,24.4,,2486.85,2486.85,139.18,,2.4,2.4,5949.2,,10786.36,5821.25
22,221,Два шва VF,191,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0.46,12.2,12.2,12.2,12.2,960.05,1426.89,1859.49,12.2,4.9,4.9,4.9,4.9,520.68,468.34,587.15,94.32,740.73,544.16,844.44,4.54,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,1338.16,1007.29,1348.66,38.52,280.44,12.2,455.37,12.2,101.7,175.92,274.96,153.72,19987.66,15895.8,32780.79,14515.92,261.27,373.77,292.27,21.36,14.6,14.6,14.6,14.6,4.9,4.9,4.9,4.9,7.3,7.3,7.3,7.3,2049.58,3036.99,3060.25,549.03,4046.47,5518.59,6843.58,534.7,1455.56,1312.4,1590.48,376.86,14.6,1079.58,995.26,14.6,618.15,589.82,703.96,76.25,376.23,313.23,390.12,12.95,5108.98,4597.26,5652.52,2225.47,24.4,2120.34,24.4,24.4,72.88,2.4,144.07,2.4,4961.26,6175.81,5012.46,1927.81
23,222,Два шва VF,192,4.9,4.9,4.9,4.9,4.9,29.74,4.9,0.54,12.2,12.2,12.2,12.2,12.2,2687.33,1540.56,112.92,4.9,470.16,4.9,4.9,371.04,499.51,612.55,248.98,1752.34,2747.3,5275.15,318.97,73.2,6006.74,73.2,73.2,4.9,4.9,4.9,4.9,887.2,1271.98,1261.88,81.91,753.54,2549.63,610.41,12.2,97.93,224.44,214.96,189.61,26139.08,30981.89,101504.36,24732.7,253.98,413.33,532.38,36.17,14.6,409.11,14.6,14.6,548.19,937.82,506.77,4.9,7.3,568.24,344.26,7.3,1645.95,2948.67,4636.81,555.13,1933.19,4316.35,3848.66,534.7,1377.73,1371.22,1575.8,757.51,14.6,995.26,14.6,14.6,666.01,1067.91,1806.21,182.56,465.42,640.53,1097.87,199.65,5509.79,6378.42,6019.39,1920.41,24.4,1553.26,24.4,24.4,2.4,218.85,139.18,2.4,5463.83,3712.74,6271.6,4101.57
24,223,Два шва VF,193,4.9,4.9,4.9,4.9,4.9,4.9,47.28,4.9,12.2,12.2,12.2,12.2,1225.17,1527.35,2004.53,372.55,4.9,4.9,4.9,4.9,212.35,693.43,944.25,274.07,763.99,1020.48,926.35,0.7,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,610.88,1068,1391.84,17.72,534.71,753.54,399.92,12.2,97.31,188.88,809.85,220.34,10240.11,18144.62,76360.54,13683.28,207.71,307.46,389.01,15.73,14.6,14.6,14.6,14.6,592.02,603.88,369.62,4.9,7.3,207.94,7.3,7.3,1541.97,2584.19,4257.77,1784.3,3711,3568.07,3981.61,313.88,1166.67,1356.95,1605.66,436.57,14.6,14.6,14.6,14.6,384.59,547.56,863.49,55.29,305.65,342.02,429.02,25.43,3370.4,4806.28,6861.74,1566.08,24.4,24.4,2663.43,24.4,139.18,175.02,2.4,2.4,6534.11,6077.61,10024.64,4975.06
25,,Два шва VF,194,4.9,4.9,4.9,4.9,0.46,4.9,2.09,4.9,12.2,12.2,12.2,12.2,12.2,12.2,319.8,532.11,4.9,4.9,4.9,4.9,17.59,2.4,19.01,36.76,8.08,12.2,6.85,12.2,73.2,73.2,73.2,73.2,4.9,4.9,4.66,4.9,7.3,7.3,1.53,1.75,190.45,12.2,232.01,12.2,0.2,31.55,106.23,187.51,2240.83,720.29,8557.67,6151.99,2.4,2.4,2.4,2.19,14.6,14.6,14.6,14.6,52.56,4.9,57.76,18.73,7.3,7.3,7.3,7.3,58.43,8.42,196.45,460.96,870.65,907.87,820.79,29.3,182.42,129.7,335.21,339.14,14.6,14.6,14.6,14.6,6.68,1.06,17.63,11.81,6.86,2.46,6.28,4.51,750.79,906.79,885.54,721.35,24.4,24.4,24.4,24.4,13.75,2.4,9.71,2.4,1794.09,1555.8,3386.58,3668.04
26,,Два шва VF,195,4.9,4.9,4.9,4.9,0.7,4.9,0.92,0.39,12.2,12.2,12.2,12.2,12.2,12.2,407.96,1021.14,4.9,4.9,4.9,4.9,50.96,43.81,263.44,551.69,14.02,1.98,7.46,1.98,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,18.83,2.2,95.05,13.11,232.01,12.2,12.2,12.2,12.5,44.09,347.19,375.09,6027.06,3807.1,20815.36,16562.78,5.26,32.08,18.08,15.17,14.6,14.6,14.6,14.6,60.21,7.04,4.9,4.9,7.3,7.3,30.62,7.3,140.21,95.63,999.56,12680.84,810.3,907.87,1826.04,1125.62,364.01,191.32,902.3,301.69,14.6,14.6,16.15,14.6,14.28,43.85,73.68,59.96,10.13,3.98,20.55,20.45,1336.06,1523.54,2136.15,1910.26,24.4,5.91,24.4,24.4,20.56,0.44,2.4,2.4,3441.66,2042.46,5499.26,4019.09
28,17,Два шва НВГ,152,4.9,4.9,,4.9,4.9,4.9,,4.9,12.2,12.2,,12.2,2839.46,2794.58,,12.2,4.9,4.9,,4.9,257.7,540.09,,496.26,12.2,862.17,,544.16,73.2,73.2,,73.2,4.9,4.9,,4.9,758.57,979.65,,676.39,341.87,659.22,,560.3,275.88,268.96,,90.57,6881.42,11766.03,,6605.41,205.41,265.69,,313.5,14.6,14.6,,14.6,4.9,634.39,,4.9,7.3,298.34,,7.3,2221.6,1438.15,,4137.47,3100.43,9577.98,,3210.19,1279.37,1396.88,,1355.83,14.6,14.6,,14.6,456.01,511.72,,692.98,259.97,293.6,,321.91,2147.14,4996.46,,1852.99,24.4,24.4,,24.4,2.4,184.28,,2.4,6806.84,5280.24,,7190.6
29,18,Два шва НВГ,153,4.9,4.9,,4.9,75.45,4.9,,4.9,12.2,12.2,,12.2,12605.45,12.2,,1098.56,232.33,4.9,,4.9,714.56,644.67,,858.76,12.2,625.86,,1178.16,73.2,73.2,,73.2,4.9,4.9,,4.9,1399.9,741.91,,1439.51,140.54,931.82,,214.26,748.11,101.91,,129.49,33777.54,5459.18,,12417.36,419.34,495.84,,357.62,14.6,14.6,,14.6,439.23,548.19,,4.9,7.3,298.34,,7.3,2362.59,2078.91,,2882.31,3959.76,5765.45,,6766.69,1482.96,1125.19,,1642.92,954.14,14.6,,14.6,937.45,514.25,,558.44,305.65,261.02,,382.74,5009.92,2593.17,,9187.6,2515.4,3873.22,,24.4,144.07,164.71,,2.4,8327.97,3064.31,,5577.9
30,19,Два шва НВГ,154,4.9,4.9,,4.9,67.78,4.9,,4.9,12.2,12.2,,12.2,4011.08,3343.92,,12.2,4.9,4.9,,4.9,548.09,519.12,,375.51,2915.97,2025.65,,2271.46,73.2,73.2,,73.2,4.9,4.9,,4.9,772.36,785.76,,585.84,12.2,12.2,,12.2,546.56,778.14,,88.21,27184.74,13188.9,,14913.98,410.61,525.15,,311.88,14.6,14.6,,14.6,4.9,439.23,,4.9,7.3,7.3,,7.3,7172.58,4104.96,,3110.41,3543.7,8525.05,,1536.11,1403.11,1345.93,,1252.27,4051.5,1548.46,,14.6,1080.98,1471.82,,823.42,477.62,472.79,,452.41,6173.31,6708.56,,6093.5,2795.12,3977.03,,24.4,2.4,87.47,,2.4,7325.17,7322.77,,6561.45
31,,Два шва НВГ,155,4.9,4.9,,4.9,1.22,22.6,,4.9,12.2,262.18,,12.2,12.2,2345.96,,12.2,4.9,88.62,,4.9,12.05,269.11,,78.13,11.3,47.95,,5.1,73.2,1784.69,,73.2,4.9,197.19,,4.9,7.3,76.52,,7.3,12.2,1298.88,,12.2,16.95,344.31,,38.85,4051.05,5416.4,,736.03,2.4,56.46,,24.84,14.6,313.25,,14.6,46.89,78.16,,4.9,7.3,123.75,,7.3,77.42,1291.42,,864.2,621.12,1802.45,,182.94,246.89,356.95,,361.26,14.6,271.45,,14.6,5.06,153.2,,26.91,5.54,37.7,,10.4,1183.4,1699.52,,927.42,24.4,323.04,,24.4,15.58,62.07,,2.4,2684.67,4098.79,,3601.83
32,,Два шва НВГ,156,4.9,4.9,,4.9,0.39,4.9,,0.06,12.2,12.2,,12.2,12.2,12.2,,34.9,4.9,4.9,,4.9,2.4,13.57,,66.47,0.7,12.2,,4.82,73.2,73.2,,73.2,4.9,4.9,,4.9,7.3,7.3,,7.3,12.2,12.2,,20.01,0.2,23.42,,111.69,14.6,971.81,,3961.5,2.4,24.14,,9.96,14.6,14.6,,14.6,26.07,7.04,,4.9,7.3,7.3,,7.3,12.2,12.2,,313.71,29.3,1468.98,,742.89,2.4,175.49,,255.17,14.6,14.6,,14.6,4.9,59.54,,18.56,2.4,2.06,,6.61,53.64,660.24,,1146.08,24.4,66.66,,24.4,2.4,2.4,,2.4,11.96,1180.17,,2562.72
33,,,157,4.9,4.9,,4.9,1,0.85,,1.15,12.2,12.2,,12.2,285.47,12.2,,12.2,4.9,4.9,,4.9,17.23,32.35,,268.17,4.54,12.2,,4.27,73.2,73.2,,73.2,4.9,4.9,,4.9,0.57,7.3,,141.56,119.71,20.01,,12.2,110.85,64.41,,46.59,9436.08,4510.38,,11876.86,2.4,24.67,,6.62,14.6,14.6,,14.6,59.4,29.16,,31.99,7.3,7.3,,7.3,52.82,196.45,,631.95,29.3,925.73,,313.88,102.01,149.24,,270.89,14.6,14.6,,14.6,3.52,6.27,,13.83,3.31,2.06,,7.03,892.99,1249.77,,1003.06,24.4,24.4,,24.4,2.4,4.63,,2.4,1008.3,923.2,,1376.95
